_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248684-daily,59.5,61.1,61.8,60.5,51.6,2020-11-17
2,2020-11-19T00:00:14.992Z,/sonometros,NoiseLevelObserved,T248684-daily,60.1,61.7,62.6,61.4,52.5,2020-11-18
3,2020-11-20T00:00:40.254Z,/sonometros,NoiseLevelObserved,T248684-daily,60.9,61.8,64.3,64.8,54.7,2020-11-19
4,2020-11-21T00:00:42.834Z,/sonometros,NoiseLevelObserved,T248684-daily,62.9,63.3,66.5,67.9,56.8,2020-11-20
5,2020-11-22T00:00:45.220Z,/sonometros,NoiseLevelObserved,T248684-daily,65.1,65.8,68.7,69.5,59.3,2020-11-21
6,2020-11-23T00:00:47.944Z,/sonometros,NoiseLevelObserved,T248684-daily,59.1,60.2,61.8,62.6,51.1,2020-11-22
7,2020-11-24T00:00:50.348Z,/sonometros,NoiseLevelObserved,T248684-daily,60.8,62.2,63.1,62.8,52.2,2020-11-23
8,2020-11-25T00:01:52.128Z,/sonometros,NoiseLevelObserved,T248684-daily,60.0,61.5,62.6,61.9,52.6,2020-11-24
9,2020-11-26T00:00:54.375Z,/sonometros,NoiseLevelObserved,T248684-daily,60.1,61.3,63.0,62.6,53.5,2020-11-25
10,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248684-daily,62.3,62.7,66.4,66.8,57.8,2020-09-17
11,2020-09-19 00:00:25.94,/sonometros,NoiseLevelObserved,T248684-daily,62.2,62.9,66.5,65.4,58.7,2020-09-18
12,2020-09-20 00:00:28.50,/sonometros,NoiseLevelObserved,T248684-daily,64.1,63.8,69.4,68.9,62,2020-09-19
13,2020-09-21 00:00:30.129,/sonometros,NoiseLevelObserved,T248684-daily,58.9,57.6,66.5,57.3,60.8,2020-09-20
14,2020-09-22 00:00:33.112,/sonometros,NoiseLevelObserved,T248684-daily,60.8,62.1,63.3,63.3,52.9,2020-09-21
